model,fold,f1_weighted,bal_accuracy,mae,qwk,mcc,roc_auc_class_0,roc_auc_class_1,roc_auc_class_2
clinical,5,0.6348221670802315,0.7087719298245614,0.5128205128205128,0.48275862068965514,0.47298486041200505,0.8027777777777778,0.8117647058823529,0.7973684210526315
clinical,6,0.5735735735735736,0.4669590643274854,0.631578947368421,0.3942953020134229,0.278443036632117,0.7594202898550725,0.6985294117647058,0.7493074792243768
clinical,7,0.5622322294148919,0.47631578947368425,0.7105263157894737,0.3050583657587548,0.26054886821014006,0.6782608695652174,0.4485294117647059,0.6772853185595568
clinical,8,0.656015037593985,0.5777777777777778,0.47368421052631576,0.5817104149026249,0.4308038038563351,0.8521739130434782,0.5636363636363636,0.8333333333333334
clinical,9,0.53463787674314,0.49259259259259264,0.7105263157894737,0.2748091603053435,0.24249160368647654,0.691304347826087,0.5787878787878787,0.6791666666666667
top3,0,0.5444380181222287,0.41898148148148145,0.6153846153846154,0.46453089244851253,0.27941281520889905,0.7527173913043478,0.5588235294117647,0.7301587301587302
top3,1,0.49506903353057197,0.4527777777777777,0.6666666666666666,0.3879686137750653,0.24007846824354548,0.6956521739130435,0.5,0.6613756613756614
top3,2,0.6840122086302052,0.5736111111111111,0.4358974358974359,0.6057656308498689,0.4822795238270215,0.8097826086956522,0.6529411764705882,0.7724867724867724
top3,3,0.626216077828981,0.6143518518518519,0.5641025641025641,0.44108280254777066,0.4059357016564913,0.8016304347826086,0.8823529411764707,0.8915343915343915
top3,4,0.5871483442333645,0.5037037037037037,0.5384615384615384,0.5383603682595353,0.33330585767403687,0.7649456521739131,0.4558823529411765,0.798941798941799
top3,5,0.6089002333346224,0.6374269005847953,0.5641025641025641,0.425476603119584,0.39924885232091345,0.7805555555555556,0.7941176470588236,0.7289473684210527
top3,6,0.5690269900796217,0.4716374269005848,0.6578947368421053,0.3588477366255144,0.26736010709060926,0.7623188405797101,0.5588235294117647,0.8005540166204986
top3,7,0.5330126391246935,0.46345029239766083,0.7631578947368421,0.2597402597402597,0.23508621034910285,0.6956521739130435,0.7463235294117647,0.7396121883656509
top3,8,0.6081639323425002,0.5185185185185185,0.5526315789473685,0.49960095770151636,0.37185744135842563,0.7971014492753624,0.4848484848484849,0.7875
top3,9,0.5307017543859649,0.49259259259259264,0.7368421052631579,0.24063280599500425,0.23254356455755076,0.6666666666666666,0.5303030303030303,0.6791666666666666
top4,0,0.5856174476864132,0.5041666666666667,0.6153846153846154,0.42222222222222217,0.34760699566051395,0.7364130434782609,0.6205882352941177,0.7328042328042328
top4,1,0.4663308913308913,0.38379629629629625,0.7692307692307693,0.27013832384052083,0.15158556716225022,0.6535326086956521,0.5352941176470588,0.716931216931217
top4,2,0.6429153447409026,0.5638888888888888,0.48717948717948717,0.5693251533742332,0.4083073529983853,0.8505434782608695,0.6941176470588236,0.7751322751322752
top4,3,0.6406670252824098,0.6810185185185186,0.5897435897435898,0.37022449783379296,0.43256428859740137,0.7663043478260869,0.8823529411764707,0.798941798941799
top4,4,0.604302319073117,0.4601851851851852,0.48717948717948717,0.6434479756203744,0.3354783738746155,0.8043478260869567,0.47058823529411764,0.8015873015873016
top4,5,0.5598290598290598,0.543859649122807,0.6153846153846154,0.38312829525483305,0.3131232175517783,0.7666666666666667,0.6911764705882353,0.7236842105263158
top4,6,0.5588972431077694,0.4058479532163743,0.6578947368421053,0.37429718875502005,0.2399554008209055,0.7449275362318842,0.4338235294117647,0.7340720221606648
top4,7,0.49656100478468895,0.35789473684210527,0.7631578947368421,0.28844621513944224,0.15949808963774545,0.7246376811594203,0.6985294117647058,0.7229916897506925
top4,8,0.6951754385964912,0.6222222222222222,0.42105263157894735,0.6277551020408163,0.501250173834362,0.8521739130434782,0.5151515151515151,0.7944444444444446
top4,9,0.5438845041985958,0.4666666666666666,0.7368421052631579,0.25954793452844893,0.23826474107433726,0.7043478260869566,0.496969696969697,0.725
